Match_id,Team,Opposite_Team,Innings,Batsman,Dismissal Type,Fielder,Bowler,Runs,Balls,Boundaries,Sixes,StrikeRate
1,RCB,CSK,1,Kohli,Catch,Rachin Ravindra,Mustafizur,21,20,0,1,105.00
1,RCB,CSK,1,du Plessis (c),Catch,Rachin Ravindra,Mustafizur,35,23,8,0,152.17
1,RCB,CSK,1,Rajat Patidar,Catch,Dhoni,Mustafizur,0,3,0,0,0.00
1,RCB,CSK,1,Maxwell,Catch,Dhoni,D Chahar,0,1,0,0,0.00
1,RCB,CSK,1,Green,Bowled,-,Mustafizur,18,22,1,0,81.82
1,RCB,CSK,1,Anuj Rawat (wk),Run out,Dhoni,-,48,25,4,3,192.00
1,RCB,CSK,1,Karthik,Not out,-,-,38,26,3,2,146.15
2,DC,PK,1,Warner,Catch,Jitesh Sharma,Harshal Patel,29,21,3,2,138.10
2,DC,PK,1,Mitchell Marsh,Catch,Rahul Chahar,Arshdeep Singh,20,12,2,2,166.67
2,DC,PK,1,Shai Hope,Catch,Harpreet Brar,Rabada,33,25,2,2,132.00
2,DC,PK,1,Pant (c & wk),Catch,Bairstow,Harshal Patel,18,13,2,0,138.46
2,DC,PK,1,Bhui,Catch,Jitesh Sharma,Harpreet Brar,3,7,0,0,42.86
2,DC,PK,1,Tristan Stubbs,Catch,Shashank Singh,Rahul Chahar,5,8,0,0,62.50
2,DC,PK,1,Axar,Run out,(sub)T Thyagarajan/Jitesh Sharma,-,21,13,2,1,161.54
2,DC,PK,1,Sumit Kumar,Catch,Jitesh Sharma,Arshdeep Singh,2,9,0,0,22.22
2,DC,PK,1,Abishek Porel,Not out,-,-,32,10,4,2,320.00
2,DC,PK,1,Kuldeep Yadav,Run out,Shashank Singh/Harshal Patel,-,1,2,0,0,50.00
3,KKR,SH,1,Salt (wk),Catch,Marco Jansen,Markande,54,40,3,3,135.00
3,KKR,SH,1,Narine,Run out,Shahbaz Ahmed,-,2,4,0,0,50.00
3,KKR,SH,1,Venkatesh Iyer,Catch,Marco Jansen,T Natarajan,7,5,1,0,140.00
3,KKR,SH,1,Shreyas Iyer (c),Catch,Cummins,T Natarajan,0,2,0,0,0.00
3,KKR,SH,1,Nitish Rana,Catch,Tripathi,Markande,9,11,1,0,81.82
3,KKR,SH,1,Ramandeep Singh,Catch,Markande,Cummins,35,17,1,4,205.88
3,KKR,SH,1,Rinku Singh,Catch,Markram,T Natarajan,23,15,3,0,153.33
3,KKR,SH,1,Russell,Not out,-,-,64,25,3,7,256.00
3,KKR,SH,1,Starc,Not out,-,-,6,3,1,0,200.00
4,RR,LSG,1,Yashasvi Jaiswal,Catch,Krunal Pandya,Mohsin Khan,24,12,3,1,200.00
4,RR,LSG,1,Jos Buttler,Catch,Rahul,Naveen-ul-Haq,11,9,2,0,122.22
4,RR,LSG,1,Samson (c & wk),Not out,-,-,82,52,3,6,157.69
4,RR,LSG,1,Riyan Parag,Catch,Deepak Hooda,Naveen-ul-Haq,43,29,1,3,148.28
4,RR,LSG,1,Hetmyer,Catch,Rahul,Ravi Bishnoi,5,7,0,0,71.43
4,RR,LSG,1,Dhruv Jurel,Not out,-,-,20,12,1,1,166.67
5,GT,M,1,W Saha (wk),Bowled,-,Bumrah,19,15,4,0,126.67
5,GT,M,1,Shubman Gill (c),Catch,Rohit,Chawla,31,22,3,1,140.91
5,GT,M,1,Sai Sudharsan,Catch,Tilak Varma,Bumrah,45,39,3,1,115.38
5,GT,M,1,Azmatullah,Catch,Tilak Varma,Gerald Coetzee,17,11,1,1,154.55
5,GT,M,1,David Miller,Catch,Hardik Pandya,Bumrah,12,11,1,0,109.09
5,GT,M,1,Vijay Shankar,Not out,-,-,6,5,0,0,120.00
5,GT,M,1,Rahul Tewatia,Catch,Naman Dhir,Gerald Coetzee,22,15,2,1,146.67
5,GT,M,1,Rashid Khan,Not out,-,-,4,3,0,0,133.33
6,PK,RCB,1,Dhawan (c),Catch,Kohli,Maxwell,45,37,5,1,121.62
6,PK,RCB,1,Bairstow,Catch,Kohli,Siraj,8,6,2,0,133.33
6,PK,RCB,1,Prabhsimran,Catch,Anuj Rawat,Maxwell,25,17,2,2,147.06
6,PK,RCB,1,Livingstone,Catch,Anuj Rawat,Alzarri Joseph,17,13,1,1,130.77
6,PK,RCB,1,Sam Curran,Catch,Anuj Rawat,Yash Dayal,23,17,3,0,135.29
6,PK,RCB,1,Jitesh Sharma (wk),Catch,Anuj Rawat,Siraj,27,20,1,2,135.00
6,PK,RCB,1,Shashank Singh,Not out,-,-,21,8,1,2,262.50
6,PK,RCB,1,Harpreet Brar,Not out,-,-,2,2,0,0,100.00
