Match_id,Team,Opposite_Team,Innings,Bowler,Overs,Maindens,Runs,Wickets,No_Balls,Wides,Economy
1,CSK,RCB,1,D Chahar,4,0,37,1,0,2,9.20
1,CSK,RCB,1,Tushar Deshpande,4,0,47,0,0,6,11.80
1,CSK,RCB,1,M Theekshana,4,0,36,0,0,0,9.00
1,CSK,RCB,1,Mustafizur,4,0,29,4,0,2,7.20
1,CSK,RCB,1,Ravindra Jadeja,4,0,21,0,0,0,5.20
2,PK,DC,1,Sam Curran,1,0,10,0,0,1,10.00
2,PK,DC,1,Arshdeep Singh,4,0,28,2,0,2,7.00
2,PK,DC,1,Rabada,4,0,36,1,0,1,9.00
2,PK,DC,1,Harpreet Brar,3,0,14,1,0,0,4.70
2,PK,DC,1,Rahul Chahar,4,0,33,1,0,0,8.20
2,PK,DC,1,Harshal Patel,4,0,47,2,0,0,11.80
3,SH,KKR,1,Bhuvneshwar,4,0,51,0,1,2,12.80
3,SH,KKR,1,Marco Jansen,3,0,40,0,0,1,13.30
3,SH,KKR,1,T Natarajan,4,0,32,3,0,3,8.00
3,SH,KKR,1,Cummins (c),4,0,32,1,0,0,8.00
3,SH,KKR,1,Markande,4,0,39,2,0,0,9.80
3,SH,KKR,1,Shahbaz Ahmed,1,0,14,0,1,0,14.00
4,LSG,RR,1,Mohsin Khan,4,0,45,1,0,1,11.20
4,LSG,RR,1,Naveen-ul-Haq,4,0,41,2,0,4,10.20
4,LSG,RR,1,Krunal Pandya,4,0,19,0,0,0,4.80
4,LSG,RR,1,Ravi Bishnoi,4,0,38,1,0,0,9.50
4,LSG,RR,1,Yash Thakur,3,0,43,0,1,1,14.30
4,LSG,RR,1,Ayush Badoni,1,0,6,0,0,0,6.00
5,M,GT,1,Hardik Pandya (c),3,0,30,0,0,0,10.00
5,M,GT,1,Luke Wood,2,0,25,0,1,1,12.50
5,M,GT,1,Bumrah,4,0,14,3,0,0,3.50
5,M,GT,1,Shams Mulani,3,0,24,0,0,1,8.00
5,M,GT,1,Chawla,3,0,31,1,0,5,10.30
5,M,GT,1,Naman Dhir,1,0,13,0,0,0,13.00
5,M,GT,1,Gerald Coetzee,4,0,27,2,0,0,6.80
6,RCB,PK,1,Siraj,4,0,26,2,0,0,6.50
6,RCB,PK,1,Yash Dayal,4,0,23,1,0,2,5.80
6,RCB,PK,1,Alzarri Joseph,4,0,43,1,0,3,10.80
6,RCB,PK,1,Green,2,0,19,0,0,1,9.50
6,RCB,PK,1,Mayank Dagar,3,0,34,0,0,0,11.30
6,RCB,PK,1,Maxwell,3,0,29,2,0,0,9.70
7,GT,CSK,1,Azmatullah,3,0,30,0,0,1,10.00
7,GT,CSK,1,Umesh,2,0,27,0,0,1,13.50
7,GT,CSK,1,Rashid Khan,4,0,49,2,0,0,12.20
7,GT,CSK,1,Sai Kishore,3,0,28,1,0,2,9.30
7,GT,CSK,1,Spencer Johnson,4,0,35,1,0,0,8.80
7,GT,CSK,1,Mohit Sharma,4,0,36,1,0,1,9.00
8,M,SH,1,Kwena Maphaka,4,0,66,0,0,3,16.50
8,M,SH,1,Hardik Pandya (c),4,0,46,1,0,0,11.50
8,M,SH,1,Bumrah,4,0,36,0,1,1,9.00
8,M,SH,1,Gerald Coetzee,4,0,57,1,1,6,14.20
8,M,SH,1,Chawla,2,0,34,1,0,0,17.00
8,M,SH,1,Shams Mulani,2,0,33,0,0,2,16.50
9,DC,RR,1,Khaleel Ahmed,4,0,24,1,0,2,6.00
9,DC,RR,1,Mukesh Kumar,4,0,49,1,0,1,12.20
