Match No,Innings,Over,Batter,Bowler,Action,Runs
1,1,0.1, Kohli,Chahar,Single,1
1,1,0.1, Kohli,Chahar,Extra_W,1
1,1,0.2, du Plessis,Chahar,Dot,0
1,1,0.3, du Plessis,Chahar,Dot,0
1,1,0.4, du Plessis,Chahar,Dot,0
1,1,0.5, du Plessis,Chahar,Boundary,4
1,1,0.6, du Plessis,Chahar,Single,1
1,1,1.1, du Plessis,Tushar Deshpande,Boundary,4
1,1,1.2, du Plessis,Tushar Deshpande,Dot,0
1,1,1.3, du Plessis,Tushar Deshpande,Boundary,4
1,1,1.4, du Plessis,Tushar Deshpande,Dot,0
1,1,1.5, du Plessis,Tushar Deshpande,Dot,0
1,1,1.6, du Plessis,Tushar Deshpande,Single,1
1,1,2.1, du Plessis,Chahar,Boundary,4
1,1,2.2, du Plessis,Chahar,Dot,0
1,1,2.2, du Plessis,Chahar,Extra_W,1
1,1,2.3, du Plessis,Chahar,Boundary,4
1,1,2.4, du Plessis,Chahar,Boundary,4
1,1,2.5, du Plessis,Chahar,Dot,0
1,1,2.6, du Plessis,Chahar,Boundary,4
1,1,3.1, Kohli,Theekshana,Dot,0
1,1,3.2, Kohli,Theekshana,Single,1
1,1,3.3, du Plessis,Theekshana,Dot,0
1,1,3.4, du Plessis,Theekshana,Single,1
1,1,3.5, Kohli,Theekshana,Single,1
1,1,3.6, du Plessis,Theekshana,Single,1
1,1,4.1, du Plessis,Mustafizur,Dot,0
1,1,4.2, du Plessis,Mustafizur,Boundary,4
1,1,4.3, du Plessis,Mustafizur,Wicket,0
1,1,4.4, Rajat Patidar,Mustafizur,Dot,0
1,1,4.5, Rajat Patidar,Mustafizur,Dot,0
1,1,4.6, Rajat Patidar,Mustafizur,Wicket,0
1,1,5.1, Kohli,Chahar,Dot,0
1,1,5.2, Kohli,Chahar,Single,1
1,1,5.3, Maxwell,Chahar,Wicket,0
1,1,5.4, Green,Chahar,Dot,0
1,1,5.5, Green,Chahar,Dot,0
1,1,5.6, Green,Chahar,Dot,0
1,1,6.1, Kohli,Jadeja,Single,1
1,1,6.2, Green,Jadeja,Double,2
1,1,6.3, Green,Jadeja,Dot,0
1,1,6.4, Green,Jadeja,Single,1
1,1,6.5, Kohli,Jadeja,Single,1
1,1,6.6, Green,Jadeja,Single,1
1,1,7.1, Green,Theekshana,Dot,0
1,1,7.2, Green,Theekshana,Single,1
1,1,7.3, Kohli,Theekshana,Double,2
1,1,7.4, Kohli,Theekshana,Single,1
1,1,7.5, Green,Theekshana,Double,2
1,1,7.6, Green,Theekshana,Single,1
1,1,8.1, Green,Jadeja,Single,1
1,1,8.2, Kohli,Jadeja,Single,1
1,1,8.3, Green,Jadeja,Single,1
1,1,8.4, Green,Jadeja,Boundary,4
1,1,8.5, Green,Jadeja,Single,1
