Match_id,Bowling,Team,Opposite_Team,Innings
1,D Chahar   4 0 37 1 0 2 9.20,Chennai Super Kings,Royal Challengers Bengaluru,1
1,Tushar Deshpande   4 0 47 0 0 6 11.80,Chennai Super Kings,Royal Challengers Bengaluru,1
1,M Theekshana   4 0 36 0 0 0 9.00,Chennai Super Kings,Royal Challengers Bengaluru,1
1,Mustafizur   4 0 29 4 0 2 7.20,Chennai Super Kings,Royal Challengers Bengaluru,1
1,Ravindra Jadeja   4 0 21 0 0 0 5.20,Chennai Super Kings,Royal Challengers Bengaluru,1
2,Sam Curran   1 0 10 0 0 1 10.00,Punjab Kings,Delhi Capitals,1
2,Arshdeep Singh   4 0 28 2 0 2 7.00,Punjab Kings,Delhi Capitals,1
2,Rabada   4 0 36 1 0 1 9.00,Punjab Kings,Delhi Capitals,1
2,Harpreet Brar   3 0 14 1 0 0 4.70,Punjab Kings,Delhi Capitals,1
2,Rahul Chahar   4 0 33 1 0 0 8.20,Punjab Kings,Delhi Capitals,1
2,Harshal Patel   4 0 47 2 0 0 11.80,Punjab Kings,Delhi Capitals,1
3,Bhuvneshwar   4 0 51 0 1 2 12.80,Sunrisers Hyderabad,Kolkata Knight Riders,1
3,Marco Jansen   3 0 40 0 0 1 13.30,Sunrisers Hyderabad,Kolkata Knight Riders,1
3,T Natarajan   4 0 32 3 0 3 8.00,Sunrisers Hyderabad,Kolkata Knight Riders,1
3,Cummins (c)   4 0 32 1 0 0 8.00,Sunrisers Hyderabad,Kolkata Knight Riders,1
3,Markande   4 0 39 2 0 0 9.80,Sunrisers Hyderabad,Kolkata Knight Riders,1
3,Shahbaz Ahmed   1 0 14 0 1 0 14.00,Sunrisers Hyderabad,Kolkata Knight Riders,1
4,Mohsin Khan   4 0 45 1 0 1 11.20,Lucknow Super Giants,Rajasthan Royals,1
4,Naveen-ul-Haq   4 0 41 2 0 4 10.20,Lucknow Super Giants,Rajasthan Royals,1
4,Krunal Pandya   4 0 19 0 0 0 4.80,Lucknow Super Giants,Rajasthan Royals,1
4,Ravi Bishnoi   4 0 38 1 0 0 9.50,Lucknow Super Giants,Rajasthan Royals,1
4,Yash Thakur   3 0 43 0 1 1 14.30,Lucknow Super Giants,Rajasthan Royals,1
4,Ayush Badoni   1 0 6 0 0 0 6.00,Lucknow Super Giants,Rajasthan Royals,1
5,Hardik Pandya (c)   3 0 30 0 0 0 10.00,Mumbai,Gujarat Titans,1
5,Luke Wood   2 0 25 0 1 1 12.50,Mumbai,Gujarat Titans,1
5,Bumrah   4 0 14 3 0 0 3.50,Mumbai,Gujarat Titans,1
5,Shams Mulani   3 0 24 0 0 1 8.00,Mumbai,Gujarat Titans,1
5,Chawla   3 0 31 1 0 5 10.30,Mumbai,Gujarat Titans,1
5,Naman Dhir   1 0 13 0 0 0 13.00,Mumbai,Gujarat Titans,1
5,Gerald Coetzee   4 0 27 2 0 0 6.80,Mumbai,Gujarat Titans,1
6,Siraj   4 0 26 2 0 0 6.50,Royal Challengers Bengaluru,Punjab Kings,1
6,Yash Dayal   4 0 23 1 0 2 5.80,Royal Challengers Bengaluru,Punjab Kings,1
6,Alzarri Joseph   4 0 43 1 0 3 10.80,Royal Challengers Bengaluru,Punjab Kings,1
6,Green   2 0 19 0 0 1 9.50,Royal Challengers Bengaluru,Punjab Kings,1
6,Mayank Dagar   3 0 34 0 0 0 11.30,Royal Challengers Bengaluru,Punjab Kings,1
6,Maxwell   3 0 29 2 0 0 9.70,Royal Challengers Bengaluru,Punjab Kings,1
7,Azmatullah   3 0 30 0 0 1 10.00,Gujarat Titans,Chennai Super Kings,1
7,Umesh   2 0 27 0 0 1 13.50,Gujarat Titans,Chennai Super Kings,1
7,Rashid Khan   4 0 49 2 0 0 12.20,Gujarat Titans,Chennai Super Kings,1
7,Sai Kishore   3 0 28 1 0 2 9.30,Gujarat Titans,Chennai Super Kings,1
7,Spencer Johnson   4 0 35 1 0 0 8.80,Gujarat Titans,Chennai Super Kings,1
7,Mohit Sharma   4 0 36 1 0 1 9.00,Gujarat Titans,Chennai Super Kings,1
8,Kwena Maphaka   4 0 66 0 0 3 16.50,Mumbai,Sunrisers Hyderabad,1
8,Hardik Pandya (c)   4 0 46 1 0 0 11.50,Mumbai,Sunrisers Hyderabad,1
8,Bumrah   4 0 36 0 1 1 9.00,Mumbai,Sunrisers Hyderabad,1
8,Gerald Coetzee   4 0 57 1 1 6 14.20,Mumbai,Sunrisers Hyderabad,1
8,Chawla   2 0 34 1 0 0 17.00,Mumbai,Sunrisers Hyderabad,1
8,Shams Mulani   2 0 33 0 0 2 16.50,Mumbai,Sunrisers Hyderabad,1
9,Khaleel Ahmed   4 0 24 1 0 2 6.00,Delhi Capitals,Rajasthan Royals,1
9,Mukesh Kumar   4 0 49 1 0 1 12.20,Delhi Capitals,Rajasthan Royals,1
9,Nortje   4 0 48 1 0 0 12.00,Delhi Capitals,Rajasthan Royals,1
9,Axar   4 0 21 1 0 0 5.20,Delhi Capitals,Rajasthan Royals,1
9,Kuldeep Yadav   4 0 41 1 0 2 10.20,Delhi Capitals,Rajasthan Royals,1
10,Starc   4 0 47 0 0 1 11.80,Kolkata Knight Riders,Royal Challengers Bengaluru,1
10,Harshit Rana   4 0 39 2 0 1 9.80,Kolkata Knight Riders,Royal Challengers Bengaluru,1
10,Anukul Roy   2 0 6 0 0 0 3.00,Kolkata Knight Riders,Royal Challengers Bengaluru,1
10,Narine   4 0 40 1 0 0 10.00,Kolkata Knight Riders,Royal Challengers Bengaluru,1
10,Russell   4 0 29 2 0 1 7.20,Kolkata Knight Riders,Royal Challengers Bengaluru,1
10,Chakaravarthy   2 0 20 0 0 0 10.00,Kolkata Knight Riders,Royal Challengers Bengaluru,1
11,Sam Curran   4 0 28 3 0 0 7.00,Punjab Kings,Lucknow Super Giants,1
11,Arshdeep Singh   3 0 30 2 0 1 10.00,Punjab Kings,Lucknow Super Giants,1
11,Rabada   4 0 38 1 0 0 9.50,Punjab Kings,Lucknow Super Giants,1
11,Rahul Chahar   3 0 42 1 0 0 14.00,Punjab Kings,Lucknow Super Giants,1
11,Harpreet Brar   2 0 14 0 0 0 7.00,Punjab Kings,Lucknow Super Giants,1
11,Harshal Patel   4 0 45 0 0 4 11.20,Punjab Kings,Lucknow Super Giants,1
12,Azmatullah   3 0 24 1 0 1 8.00,Gujarat Titans,Sunrisers Hyderabad,1
12,Umesh   3 0 28 1 0 0 9.30,Gujarat Titans,Sunrisers Hyderabad,1
12,Rashid Khan   4 0 33 1 0 0 8.20,Gujarat Titans,Sunrisers Hyderabad,1
12,Noor Ahmad   4 0 32 1 0 0 8.00,Gujarat Titans,Sunrisers Hyderabad,1
12,Mohit Sharma   4 0 25 3 0 0 6.20,Gujarat Titans,Sunrisers Hyderabad,1
12,Darshan Nalkande   2 0 18 0 0 1 9.00,Gujarat Titans,Sunrisers Hyderabad,1
13,D Chahar   4 0 42 0 0 0 10.50,Chennai Super Kings,Delhi Capitals,1
13,Tushar Deshpande   4 0 24 0 0 2 6.00,Chennai Super Kings,Delhi Capitals,1
13,Mustafizur   4 0 47 1 2 1 11.80,Chennai Super Kings,Delhi Capitals,1
13,Ravindra Jadeja   4 0 43 1 0 0 10.80,Chennai Super Kings,Delhi Capitals,1
13,Matheesha Pathirana   4 0 31 3 0 2 7.80,Chennai Super Kings,Delhi Capitals,1
14,Boult   4 0 22 3 0 1 5.50,Rajasthan Royals,Mumbai,1
