Match,Team_1,Team_2,Player_of_the_Match,Venue,City,Match_info,Score_Card
CHENNAI SUPER KINGS VS ROYAL CHALLENGERS BENGALURU,CSK,RCB,Mustafizur Rahman,MA Chidambaram Stadium,Chennai,https://www.cricbuzz.com/live-cricket-full-commentary//89654/csk-vs-rcb-1st-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89654/csk-vs-rcb-1st-match-indian-premier-league-2024
PUNJAB KINGS VS DELHI CAPITALS,PK,DC,Sam Curran,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,https://www.cricbuzz.com/live-cricket-full-commentary//89661/pbks-vs-dc-2nd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89661/pbks-vs-dc-2nd-match-indian-premier-league-2024
KOLKATA KNIGHT RIDERS VS SUNRISERS HYDERABAD,KKR,SH,Andre Russell,Eden Gardens,Kolkata,https://www.cricbuzz.com/live-cricket-full-commentary//89665/kkr-vs-srh-3rd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89665/kkr-vs-srh-3rd-match-indian-premier-league-2024
RAJASTHAN ROYALS VS LUCKNOW SUPER GIANTS,RR,LSG,Sanju Samson,Sawai Mansingh Stadium,Jaipur,https://www.cricbuzz.com/live-cricket-full-commentary//89668/rr-vs-lsg-4th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89668/rr-vs-lsg-4th-match-indian-premier-league-2024
GUJARAT TITANS VS MUMBAI INDIANS,GT,MI,Sai Sudharsan,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//89675/gt-vs-mi-5th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89675/gt-vs-mi-5th-match-indian-premier-league-2024
ROYAL CHALLENGERS BENGALURU VS PUNJAB KINGS,RCB,PK,Virat Kohli,M.Chinnaswamy Stadium,Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary//89682/rcb-vs-pbks-6th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89682/rcb-vs-pbks-6th-match-indian-premier-league-2024
CHENNAI SUPER KINGS VS GUJARAT TITANS,CSK,GT,Shivam Dube,MA Chidambaram Stadium,Chennai,https://www.cricbuzz.com/live-cricket-full-commentary//89689/csk-vs-gt-7th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89689/csk-vs-gt-7th-match-indian-premier-league-2024
SUNRISERS HYDERABAD VS MUMBAI INDIANS,SH,MI,Abhishek Sharma,Rajiv Gandhi International Stadium,Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary//89693/srh-vs-mi-8th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89693/srh-vs-mi-8th-match-indian-premier-league-2024
RAJASTHAN ROYALS VS DELHI CAPITALS,RR,DC,Riyan Parag,Sawai Mansingh Stadium,Jaipur,https://www.cricbuzz.com/live-cricket-full-commentary//89700/rr-vs-dc-9th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89700/rr-vs-dc-9th-match-indian-premier-league-2024
ROYAL CHALLENGERS BENGALURU VS KOLKATA KNIGHT RIDERS,RCB,KKR,Sunil Narine,M.Chinnaswamy Stadium,Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary//89703/rcb-vs-kkr-10th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89703/rcb-vs-kkr-10th-match-indian-premier-league-2024
LUCKNOW SUPER GIANTS VS PUNJAB KINGS,LSG,PK,Mayank Yadav,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,https://www.cricbuzz.com/live-cricket-full-commentary//89710/lsg-vs-pbks-11th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89710/lsg-vs-pbks-11th-match-indian-premier-league-2024
GUJARAT TITANS VS SUNRISERS HYDERABAD,GT,SH,Mohit Sharma,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//89717/gt-vs-srh-12th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89717/gt-vs-srh-12th-match-indian-premier-league-2024
DELHI CAPITALS VS CHENNAI SUPER KINGS,DC,CSK,Khaleel Ahmed,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,https://www.cricbuzz.com/live-cricket-full-commentary//89724/dc-vs-csk-13th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89724/dc-vs-csk-13th-match-indian-premier-league-2024
MUMBAI INDIANS VS RAJASTHAN ROYALS,MI,RR,Trent Boult,Wankhede Stadium,Mumbai,https://www.cricbuzz.com/live-cricket-full-commentary//89731/mi-vs-rr-14th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89731/mi-vs-rr-14th-match-indian-premier-league-2024
ROYAL CHALLENGERS BENGALURU VS LUCKNOW SUPER GIANTS,RCB,LSG,Mayank Yadav,M.Chinnaswamy Stadium,Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary//89738/rcb-vs-lsg-15th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89738/rcb-vs-lsg-15th-match-indian-premier-league-2024
DELHI CAPITALS VS KOLKATA KNIGHT RIDERS,DC,KKR,Sunil Narine,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,https://www.cricbuzz.com/live-cricket-full-commentary//89745/dc-vs-kkr-16th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//89745/dc-vs-kkr-16th-match-indian-premier-league-2024
